Designator,Mid X,Mid Y,Layer,Rotation
C1,107.9375,-76.2000,Top,0.0
C2,96.1850,-82.8300,Top,180.0
C3,98.6250,-110.4200,Top,180.0
C4,101.5950,-110.4200,Top,0.0
C5,109.0250,-89.0000,Top,0.0
C6,103.0000,-93.9500,Top,0.0
C7,103.0000,-93.0000,Top,0.0
C8,92.0000,-99.8000,Top,180.0
C9,105.2000,-93.5000,Top,270.0
C10,101.4000,-108.3000,Top,270.0
C11,108.0000,-99.5000,Top,0.0
C12,99.0000,-91.2000,Top,90.0
C13,98.7000,-108.3000,Top,270.0
C14,94.2000,-91.9000,Top,180.0
C15,92.0000,-97.1000,Top,180.0
C16,108.0050,-100.5000,Top,0.0
C17,92.0000,-102.2000,Top,180.0
C18,107.5000,-104.5000,Top,0.0
C19,85.1150,-78.0000,Top,0.0
C20,107.5000,-95.7000,Top,0.0
C21,95.3000,-106.7000,Top,180.0
J1,99.9750,-72.8350,Top,180.0
J2,75.8700,-74.0000,Top,0.0
J3,121.5900,-74.0000,Top,0.0
J4,110.9000,-127.8000,Top,0.0
L1,103.0000,-91.3500,Top,0.0
R2,100.2000,-108.3050,Top,270.0
R3,105.2000,-91.6500,Top,270.0
R4,108.1000,-113.7000,Top,270.0
R6,88.6000,-81.4000,Top,0.0
R7,100.0000,-91.2000,Top,270.0
R8,101.0000,-91.2000,Top,270.0
R10,88.6000,-82.8000,Top,0.0
SW1,91.2000,-75.2000,Top,270.0
SW2,110.7250,-113.6000,Top,90.0
U1,100.0000,-100.0000,Top,0.0
U2,108.0000,-82.3500,Top,270.0
U3,93.0000,-87.2000,Top,0.0
Y1,100.0000,-114.0000,Top,0.0
